Model,Epsilon,Clean Recall,Adversarial Recall,Recall Drop
Pedestrian,0.01,0.6111111111111112,0.05555555555555555,0.5555555555555556
Pedestrian,0.05,0.6111111111111112,0.7777777777777778,-0.16666666666666663
Pedestrian,0.1,0.6111111111111112,0.8888888888888888,-0.2777777777777777
Vehicle,0.01,0.9876543209876543,0.8765432098765432,0.11111111111111105
Vehicle,0.05,0.9876543209876543,1.0,-0.012345679012345734
Vehicle,0.1,0.9876543209876543,1.0,-0.012345679012345734
Traffic Light,0.01,0.9859154929577465,0.09859154929577464,0.8873239436619719
Traffic Light,0.05,0.9859154929577465,0.09859154929577464,0.8873239436619719
Traffic Light,0.1,0.9859154929577465,0.09859154929577464,0.8873239436619719
