Model,Epsilon,Probability
Pedestrian,Clean,0.5867191553115845
Pedestrian,0.01,0.004268459510058165
Pedestrian,0.05,0.3795986473560333
Pedestrian,0.1,0.7229430675506592
Vehicle,Clean,0.9999736547470093
Vehicle,0.01,0.986984133720398
Vehicle,0.05,0.9997250437736511
Vehicle,0.1,0.9984130859375
Traffic Light,Clean,0.9999881982803345
Traffic Light,0.01,0.06020765379071236
Traffic Light,0.05,0.0001267916668439284
Traffic Light,0.1,0.018860213458538055
