Model,Best_T,ECE_Before,ECE_After
Pedestrian,2.5999999999999996,0.167001,0.2048458335155414
Vehicle,2.3999999999999995,0.115243,0.0912268266826868
Traffic Light,1.6999999999999997,0.048179,0.04145472452044488
